"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
(hg38)","LeftJunction","RightJunction","L_padj_TDPvCtrl","R_padj_TDPvCtrl","L_padj_TDPvTXUTXS","R_padj_TDPvTXUTXS"
"141","FBN3","2","ENSG00000142449","CE141","chr19:8117590-8118896","chr19:8118351-8118456","chr19:8117590-8118350","chr19:8118457-8118896","not calculated","not calculated","not calculated","not calculated"
"142","FEZ1",NA,"ENSG00000149557","CE142","chr11:125489823-125496120","chr11:125495836-125496120","chr11:125489823-125495835",NA,"1.27e-16",NA,"0.0154",NA
"143","FH",NA,"ENSG00000091483","CE143","chr1:241508786-241511966","chr1:241509925-241509971","chr1:241508786-241509924","chr1:241509972-241511966","1.76e-12","1.76e-12","2.58e-06","2.58e-06"
"144","FNIP2",NA,"ENSG00000052795","CE144","chr4:158829226-158831860","chr4:158830449-158830602",NA,"chr4:158830603-158831860",NA,"0.00262",NA,"0.0334"
"145","FOCAD",NA,"ENSG00000188352","CE145","chr9:20770239-20778680","chr9:20773784-20773947","chr9:20770239-20773783","chr9:20773948-20778680","5.09e-05","5.09e-05","0.00321","0.00321"
"146","FOXK1",NA,"ENSG00000164916","CE146","chr7:4682869-4740837","chr7:4737318-4737421","chr7:4682869-4737317","chr7:4737422-4740837","not calculated","1.01e-07","not calculated","0.00834"
"147","FOXN3",NA,"ENSG00000053254","CE147","chr14:89350809-89411933","chr14:89356668-89356808","chr14:89350809-89356667","chr14:89356809-89411933","5.72e-07","not calculated","not calculated","not calculated"
"148","FOXRED1",NA,"ENSG00000110074","CE148","chr11:126276220-126276393","chr11:126276220-126276246",NA,"chr11:126276247-126276393",NA,"3.47e-05",NA,"0.00392"
"149","FRMD4B",NA,"ENSG00000114541","CE149","chr3:69302436-69311262","chr3:69302436-69310517",NA,"chr3:69310518-69311262",NA,"1.72e-06",NA,"0.111"
"150","FTO",NA,"ENSG00000140718","CE150","chr16:53810218-53825863","chr16:53814670-53814848","chr16:53810218-53814669","chr16:53814849-53825863","0.0634","0.0634","0.00278","0.00278"
"151","FUBP3",NA,"ENSG00000107164","CE151","chr9:130617896-130620353","chr9:130619327-130619388","chr9:130617896-130619326","chr9:130619389-130620353","6.88e-12","6.88e-12","9.66e-07","9.66e-07"
"152","G2E3",NA,"ENSG00000092140","CE152","chr14:30559273-30581075","chr14:30563746-30564023","chr14:30559273-30563745",NA,"3.12e-11",NA,"0.041",NA
"153","G3BP1",NA,"ENSG00000145907","CE153","chr5:151786716-151790322","chr5:151787765-151787794","chr5:151786716-151787764","chr5:151787795-151790322","1.59e-13","1.59e-13","0.122","0.122"
"154","GAK",NA,"ENSG00000178950","CE154","chr4:884087-888846","chr4:884087-888044",NA,"chr4:888045-888846",NA,"not calculated",NA,"not calculated"
"155","GALNT9",NA,"ENSG00000182870","CE155","chr12:132286431-132328965","chr12:132302276-132302467","chr12:132286431-132302275","chr12:132302468-132328965","not calculated","not calculated","not calculated","not calculated"
"156","GLRB",NA,"ENSG00000109738","CE156","chr4:157078147-157120555","chr4:157084664-157084724","chr4:157078147-157084663","chr4:157084725-157120555","0.000293","0.000293","0.0523","0.0523"
"157","GNB1L",NA,"ENSG00000185838","CE157","chr22:19821376-19854442","chr22:19823987-19824077","chr22:19821376-19823986","chr22:19824078-19854442","5.81e-10","5.81e-10","0.36","0.36"
"158","GNPAT",NA,"ENSG00000116906","CE158","chr1:231267904-231270757","chr1:231269863-231270087","chr1:231267904-231269862","chr1:231270088-231270757","7.73e-06","7.73e-06","9.13e-06","9.13e-06"
"159","GPATCH8",NA,"ENSG00000186566","CE159","chr17:44424493-44435064","chr17:44429716-44429860","chr17:44424493-44429715","chr17:44429861-44435064","not calculated","5.21e-09","not calculated","0.235"
"160","GPSM2",NA,"ENSG00000121957","CE160","chr1:108885579-108896863","chr1:108896317-108896431","chr1:108885579-108896316","chr1:108896432-108896863","not calculated","not calculated","not calculated","not calculated"
"161","GPT2",NA,"ENSG00000166123","CE161","chr16:46900791-46906841","chr16:46900791-46900883",NA,"chr16:46900884-46906841",NA,"0.000212",NA,"0.184"
"162","GRAMD1A",NA,"ENSG00000089351","CE162","chr19:35000487-35009118","chr19:35001098-35001244","chr19:35000487-35001097","chr19:35001245-35009118","3.92e-42","3.92e-42","0.000243","0.000243"
"163","GSS",NA,"ENSG00000100983","CE163","chr20:34946099-34951723","chr20:34950051-34950154","chr20:34946099-34950050","chr20:34950155-34951723","2.75e-18","2.75e-18","0.036","0.036"
"164","GTF2F2",NA,"ENSG00000188342","CE164","chr13:45207506-45252870","chr13:45220866-45220909","chr13:45207506-45220865","chr13:45220910-45252870","4.05e-08","4.05e-08","5.15e-08","5.15e-08"
"165","GYPC",NA,"ENSG00000136732","CE165","chr2:126656313-126690254","chr2:126675632-126675749","chr2:126656313-126675631","chr2:126675750-126690254","4.54e-06","4.54e-06","0.0137","0.0137"
"166","HAUS2",NA,"ENSG00000137814","CE166","chr15:42563858-42566606","chr15:42565446-42565880","chr15:42563858-42565445","chr15:42565881-42566606","8.55e-15","8.55e-15","0.134","0.134"
"167","HDGFL2",NA,"ENSG00000167674","CE167","chr19:4491836-4493702","chr19:4492015-4492152","chr19:4491836-4492014","chr19:4492153-4493702","3.9e-59","3.9e-59","0.0173","0.0173"
"168","HECTD1",NA,"ENSG00000092148","CE168","chr14:31157304-31168297","chr14:31163151-31163255","chr14:31157304-31163150","chr14:31163256-31168297","not calculated","7.57e-06","not calculated","0.000604"
"169","HERC1",NA,"ENSG00000103657","CE169","chr15:63638537-63638710","chr15:63638537-63638617",NA,"chr15:63638618-63638710",NA,"1.41e-06",NA,"0.00996"
"170","HS6ST3",NA,"ENSG00000185352","CE170","chr13:96091570-96832489","chr13:96095910-96099559","chr13:96091570-96095909",NA,"not calculated",NA,"not calculated",NA
"171","ICA1",NA,"ENSG00000003147","CE171","chr7:8141818-8143874","chr7:8141969-8142055","chr7:8141818-8141968","chr7:8142056-8143874","6.53e-14","6.53e-14","0.181","0.181"
"172","IFNGR1",NA,"ENSG00000027697","CE172","chr6:137207078-137219242","chr6:137215267-137215377","chr6:137207078-137215266","chr6:137215378-137219242","0.00503","not calculated","0.176","not calculated"
"173","IFT122","long","ENSG00000163913","CE173","chr3:129483683-129488256","chr3:129483926-129484032","chr3:129483683-129483925","chr3:129484033-129488256","4.08e-08","not calculated","0.153","not calculated"
"174","IFT122","short","ENSG00000163913","CE174","chr3:129483683-129488256","chr3:129483926-129484024","chr3:129483683-129483925","chr3:129484025-129488256","4.08e-08","not calculated","0.153","not calculated"
"175","IGLON5",NA,"ENSG00000142549","CE175","chr19:51311927-51322063","chr19:51320386-51320670","chr19:51311927-51320385","chr19:51320671-51322063","7.69e-24","7.69e-24","0.0688","0.0688"
"176","IGSF21","1","ENSG00000117154","CE176","chr1:18228011-18291865","chr1:18278741-18278884","chr1:18228011-18278740","chr1:18278885-18281080","not calculated","6.97e-14","not calculated","0.00822"
"177","IGSF21","2","ENSG00000117154","CE177","chr1:18228011-18291865","chr1:18281081-18281170","chr1:18228011-18281080","chr1:18281171-18291865","6.97e-14","not calculated","0.00822","not calculated"
"178","IK",NA,"ENSG00000113141","CE178","chr5:140647925-140648470","chr5:140647925-140648007",NA,"chr5:140648008-140648470",NA,"3.75e-17",NA,"9.08e-06"
"179","ILRUN",NA,"ENSG00000196821","CE179","chr6:34646799-34654624","chr6:34649709-34649830","chr6:34646799-34649708","chr6:34649831-34654624","2.91e-05","2.91e-05","1.12e-09","1.12e-09"
"180","INPP1",NA,"ENSG00000151689","CE180","chr2:190362688-190366694","chr2:190365113-190365202","chr2:190362688-190365112","chr2:190365203-190366694","0.0698","0.0698","0.0128","0.0128"
"181","INSR",NA,"ENSG00000171105","CE181","chr19:7168095-7170536","chr19:7169727-7169831","chr19:7168095-7169726","chr19:7169832-7170536","not calculated","not calculated","not calculated","not calculated"
"182","INTS3","long","ENSG00000143624","CE182","chr1:153728785-153740650","chr1:153730942-153731176","chr1:153728785-153730941","chr1:153731177-153740650","not calculated","not calculated","not calculated","not calculated"
"183","INTS3","short","ENSG00000143624","CE183","chr1:153728785-153740650","chr1:153730942-153731051","chr1:153728785-153730941","chr1:153731052-153740650","not calculated","not calculated","not calculated","not calculated"
"184","INTS8",NA,"ENSG00000164941","CE184","chr8:94832175-94836523","chr8:94834300-94834338","chr8:94832175-94834299","chr8:94834339-94836523","2.82e-15","2.82e-15","4.61e-05","4.61e-05"
"185","IQCE","1","ENSG00000106012","CE185","chr7:2559218-2567115","chr7:2562526-2562575","chr7:2559218-2562525","chr7:2562576-2564877","2.54e-66","2.54e-66","0.000344","0.000344"
"186","IQCE","2","ENSG00000106012","CE186","chr7:2559218-2567115","chr7:2562945-2563297","chr7:2559218-2562944","chr7:2563298-2564877","2.54e-66","2.54e-66","0.000344","0.000344"
"187","IQCE","3","ENSG00000106012","CE187","chr7:2559218-2567115","chr7:2564878-2565071","chr7:2559218-2564877;chr7:2562576-2564877","chr7:2565072-2567115","2.54e-66, 2.54e-66","2.54e-66","0.000344, 0.000344","0.000344"
"188","IQCE","4","ENSG00000106012","CE188","chr7:2584286-2586207","chr7:2584286-2584430",NA,"chr7:2584431-2586207",NA,"1.58e-06",NA,"0.686"
"189","ISLR2",NA,"ENSG00000167178","CE189","chr15:74130622-74131206","chr15:74130622-74130665",NA,"chr15:74130666-74131206",NA,"2.76e-65",NA,"1.99e-05"
"190","ISY1",NA,"ENSG00000240682","CE190","chr3:129140486-129145760","chr3:129144068-129144189","chr3:129140486-129144067","chr3:129144190-129145760","0.0514","not calculated","0.000906","not calculated"
"191","ITGA3",NA,"ENSG00000005884","CE191","chr17:50080376-50081309","chr17:50081097-50081193","chr17:50080376-50081096","chr17:50081194-50081309","0.000103","0.000103","0.0391","0.0391"
"192","ITGA7",NA,"ENSG00000135424","CE192","chr12:55685289-55687970","chr12:55686202-55686314","chr12:55685289-55686201","chr12:55686315-55687970","1.45e-15","1.45e-15","0.294","0.294"
"193","ITPRID2",NA,"ENSG00000138434","CE193","chr2:181909972-181913844","chr2:181911126-181911233","chr2:181909972-181911125","chr2:181911234-181913844","not calculated","not calculated","not calculated","not calculated"
"194","KALRN","1","ENSG00000160145","CE194","chr3:124661929-124666448","chr3:124664145-124664330","chr3:124661929-124664144","chr3:124664331-124666448","4.14e-16","4.14e-16","0.36","0.36"
"195","KALRN","2_long","ENSG00000160145","CE195","chr3:124700034-124702037","chr3:124700977-124701255","chr3:124700034-124700976","chr3:124701256-124702037","6.82e-44","6.82e-44","0.767","0.767"
"196","KALRN","2_short","ENSG00000160145","CE196","chr3:124700034-124702037","chr3:124701093-124701255","chr3:124700034-124701092","chr3:124701256-124702037","6.82e-44","6.82e-44","0.767","0.767"
"197","KCNIP1",NA,"ENSG00000182132","CE197","chr5:170504634-170718757","chr5:170669499-170669660","chr14:74101239-74114005","chr5:170669661-170718757","5.12e-05","9.45e-17","0.0417","9.73e-05"
"198","KCNIP2",NA,"ENSG00000120049","CE198","chr10:101829200-101839752","chr10:101831072-101831167","chr10:101829200-101831071","chr10:101831168-101839752","4.34e-07","not calculated","not calculated","not calculated"
"199","KDM4A","1","ENSG00000066135","CE199","chr1:43653314-43655590","chr1:43653663-43653799","chr1:43653314-43653662","chr1:43653800-43654508","0.0215","not calculated","4.68e-06","not calculated"
"200","KDM4A","2","ENSG00000066135","CE200","chr1:43653314-43655590","chr1:43654509-43654595","chr1:43653800-43654508","chr1:43654596-43655590","not calculated","0.0215","not calculated","4.68e-06"
"201","KIAA0753",NA,"ENSG00000198920","CE201","chr17:6579865-6589778","chr17:6580932-6580975","chr17:6579865-6580931","chr17:6580976-6589778","2.46e-09","2.46e-09","7.3e-06","7.3e-06"
"202","KIAA1549L",NA,"ENSG00000110427","CE202","chr11:33609967-33618532","chr11:33617676-33617832","chr11:33609967-33617675","chr11:33617833-33618532","9.92e-07","9.92e-07","0.00751","0.00751"
"203","KIF21A","1_long","ENSG00000139116","CE203","chr12:39370262-39442926","chr12:39386963-39387055","chr12:39370262-39386962","chr12:39387056-39388318;chr12:39387056-39389223","1.43e-44","not calculated","2.44e-08","0.096, 0.096"
"204","KIF21A","1_short","ENSG00000139116","CE204","chr12:39370262-39442926","chr12:39386971-39387055","chr12:39370262-39386970","chr12:39387056-39388318;chr12:39387056-39389223","1.43e-44","not calculated","2.44e-08","0.096, 0.096"
"205","KIF21A","2","ENSG00000139116","CE205","chr12:39370262-39442926","chr12:39388319-39388535","chr12:39387056-39388318","chr12:39388536-39389223","not calculated","not calculated","0.096","0.096"
"206","KIF21A","3","ENSG00000139116","CE206","chr12:39370262-39442926","chr12:39389224-39389244","chr12:39387056-39389223","chr12:39389245-39442926","not calculated","1.43e-44","0.096","2.44e-08"
"207","KIF21A","4","ENSG00000139116","CE207","chr12:39370262-39442926","chr12:39389621-39389767","chr12:39389245-39389620","chr12:39389768-39442926","not calculated","not calculated","not calculated","not calculated"
"208","KIF26B",NA,"ENSG00000162849","CE208","chr1:245419746-245540766","chr1:245464259-245471302","chr1:245419746-245464258",NA,"4.66e-09",NA,"0.0489",NA
"209","KLHL18",NA,"ENSG00000114648","CE209","chr3:47283095-47319652","chr3:47287220-47287406","chr3:47283095-47287219",NA,"1.49e-09",NA,"0.0196",NA
"210","LDLRAD4",NA,"ENSG00000168675","CE210","chr18:13438385-13621116","chr18:13445160-13445222","chr18:13438385-13445159","chr18:13445223-13621116","6.37e-09","not calculated","not calculated","not calculated"
"211","LIN52",NA,"ENSG00000205659","CE211","chr14:74101239-74198921","chr14:74114006-74117874","chr14:74101239-74114005",NA,"5.12e-05",NA,"0.0417",NA
"212","LINC00963",NA,"ENSG00000204054","CE212","chr9:129493596-129503322","chr9:129497667-129498511",NA,"chr9:129498512-129503322",NA,"3.19e-15",NA,"1.62e-07"
"213","LINC01503",NA,"ENSG00000233901","CE213","chr9:129336989-129338791","chr9:129337785-129337959","chr9:129336989-129337784","chr9:129337960-129338791","1.08e-28","1.08e-28","0.329","0.329"
"214","LINC02506",NA,"ENSG00000251129","CE214","chr4:32155407-32157955","chr4:32157019-32157136","chr4:32155407-32157018","chr4:32157137-32157955","4.44e-47","4.44e-47","0.00194","0.00194"
"215","LINGO1",NA,"ENSG00000169783","CE215","chr15:77615901-77677088","chr15:77640369-77641024",NA,"chr15:77641026-77677088",NA,"1.13e-17",NA,"0.452"
"216","LINGO1",NA,"ENSG00000169783","CE216","chr15:77735054-77795938","chr15:77756560-77756719","chr15:77735054-77756559","chr19:77756720-77677088","2.22e-50","not calculated","0.00233","not calculated"
"217","LRFN1",NA,"ENSG00000128011","CE217","chr19:39316137-39318325","chr19:39316734-39316786","chr19:39316137-39316733","chr19:39316787-39318325","4.69e-15","4.69e-15","0.536","0.536"
"218","LRP8",NA,"ENSG00000157193","CE218","chr1:53271347-53275630","chr1:53274483-53274820","chr1:53271347-53274482","chr1:53274821-53275630","1.32e-08","1.32e-08","0.887","0.887"
"219","LRRC27",NA,"ENSG00000148814","CE219","chr10:132348357-132351606","chr10:132348963-132349057","chr10:132348357-132348962","chr10:132349058-132351606","1.66e-22","1.66e-22","0.193","0.193"
"220","MADD",NA,"ENSG00000110514","CE220","chr11:47324578-47328657","chr11:47324918-47325032","chr11:47324578-47324917","chr11:47325033-47328657","1.35e-19","1.35e-19","0.0376","0.0376"
"221","MAGI2",NA,"ENSG00000187391","CE221","chr7:78346044-78369155","chr7:78367211-78367299","chr7:78346044-78367210","chr7:78367300-78369155","0.0685","not calculated","0.00577","not calculated"
"222","MAP2K5",NA,"ENSG00000137764","CE222","chr15:67772753-67806645","chr15:67774036-67774125","chr15:67772753-67774035","chr15:67774126-67806645","5.02e-11","5.02e-11","6.75e-05","6.75e-05"
"223","MAP6D1",NA,"ENSG00000180834","CE223","chr3:183818112-183825146","chr3:183822316-183822413","chr3:183818112-183822315","chr3:183822414-183825146","not calculated","not calculated","not calculated","not calculated"
"224","MAST1",NA,"ENSG00000105613","CE224","chr19:12841067-12843528","chr19:12842139-12842178","chr19:12841067-12842138","chr19:12842179-12843528","1.98e-09","1.98e-09","4.79e-08","4.79e-08"
"225","MDGA2",NA,"ENSG00000139915","CE225","chr14:46957644-47035010","chr14:46994644-46994727","chr14:46957644-46994643","chr14:46994728-47035010","0.0796","0.0796","not calculated","not calculated"
"226","MED13L",NA,"ENSG00000123066","CE226","chr12:116022602-116096668","chr12:116054245-116054357","chr12:116022602-116054244","chr12:116054358-116096668","9.22e-16","9.22e-16","4.38e-05","4.38e-05"
"227","METTL14",NA,"ENSG00000145388","CE227","chr4:118700643-118703934","chr4:118702886-118702935","chr4:118700643-118702885","chr4:118702936-118703934","0.000269","0.000269","0.00204","0.00204"
"228","MFSD1",NA,"ENSG00000118855","CE228","chr3:158824237-158826014","chr3:158825178-158825301","chr3:158824237-158825177","chr3:158825302-158826014","0.244","0.244","0.000486","0.000486"
"229","MGAT5B",NA,"ENSG00000167889","CE229","chr17:76932776-76937987","chr17:76937229-76937368","chr17:76932776-76937228","chr17:76937369-76937987","not calculated","not calculated","not calculated","not calculated"
"230","MNAT1",NA,"ENSG00000020426","CE230","chr14:60812128-60818721","chr14:60817918-60817949","chr14:60812128-60817917","chr14:60817950-60818721","6.18e-18","6.18e-18","0.0811","0.0811"
"231","MNAT1","leaky","ENSG00000020426","CE231","chr14:60798161-60808324","chr14:60799259-60799391","chr14:60798161-60799258","chr14:60799392-60808324","0.132","0.132","not calculated","not calculated"
"232","MPP2",NA,"ENSG00000108852","CE232","chr17:43883356-43898261","chr17:43884084-43884155","chr17:43883356-43884083","chr17:43884156-43898261","1.63e-11","1.63e-11","0.104","0.104"
"233","MRPL1",NA,"ENSG00000169288","d","chr4:77894251-77909265","chr4:77906946-77907210","chr4:77894251-77906945","chr4:77907211-77909265","0.0186","0.0186","8.02e-08","8.02e-08"
"234","MRPL42",NA,"ENSG00000198015","CE234","chr12:93469356-93476953","chr12:93470486-93470590","chr12:93469356-93470485","chr12:93470591-93476953","0.000963","0.000963","0.000524","0.000524"
"235","MTERF4",NA,"ENSG00000122085","CE235","chr2:241097428-241099395","chr2:241098806-241099395","chr2:241097428-241098805",NA,"0.221",NA,"0.00822",NA
"236","MTMR3",NA,"ENSG00000100330","CE236","chr22:30002994-30007113","chr22:30003898-30004021","chr22:30002994-30003897","chr22:30004022-30007113","0.0213","0.0213","0.0154","0.0154"
"237","MTSS2",NA,"ENSG00000132613","CE237","chr16:70665541-70674305","chr16:70668999-70669046","chr16:70665541-70668998","chr16:70669047-70674305","9.8e-27","9.8e-27","6.52e-05","6.52e-05"
"238","MYO18A","1","ENSG00000196535","CE238","chr17:29124689-29165941","chr17:29130372-29130408","chr17:29124689-29130371","chr17:29130409-29131382","4.71e-20","not calculated","0.0581","not calculated"
"239","MYO18A","2","ENSG00000196535","CE239","chr17:29124689-29165941","chr17:29131383-29131442","chr17:29124689-29131382","chr17:29131443-29165941","4.71e-20","4.71e-20","0.0581","0.0581"
"240","NADSYN1",NA,"ENSG00000172890","CE240","chr11:71498529-71501301","chr11:71498887-71499039","chr11:71498529-71498886","chr11:71499040-71501301","not calculated","not calculated","not calculated","not calculated"
"241","NANS",NA,"ENSG00000095380","CE241","chr9:98077018-98078192","chr9:98078062-98078192","chr9:98077018-98078061",NA,"0.108",NA,"0.0017",NA
"242","NBAS","long","ENSG00000151779","CE242","chr2:15330766-15351991","chr2:15338711-15338842","chr2:15330766-15338710","chr2:15338843-15351991","not calculated","1.71e-14","not calculated","0.000209"
"243","NBAS","short","ENSG00000151779","CE242","chr2:15330766-15351991","chr2:15338731-15338842","chr2:15330766-15338730","chr2:15338843-15351991","1.71e-14","1.71e-14","0.000209","0.000209"
"244","NCBP3",NA,"ENSG00000074356","CE243","chr17:3822053-3824941","chr17:3824060-3824092","chr17:3822053-3824059","chr17:3824093-3824941","2.47e-06","2.47e-06","0.537","0.537"
"245","NCOR2","1","ENSG00000196498","CE244","chr12:124473132-124483595","chr12:124476659-124476764","chr12:124473132-124476658","chr12:124476765-124479596","1.75e-28","not calculated","0.0425","not calculated"
"246","NCOR2","2","ENSG00000196498","CE245","chr12:124473132-124483595","chr12:124479597-124479690","chr12:124473132-124479596","chr12:124479691-124483595","1.75e-28","1.75e-28","0.0425","0.0425"
"247","NDUFA12",NA,"ENSG00000184752","CE246","chr12:94994258-95002738","chr12:94997308-94997410","chr12:94994258-94997307","chr12:94997411-95002738","1.88e-16","1.88e-16","1.43e-15","1.43e-15"
"248","NECAB2",NA,"ENSG00000103154","CE247","chr16:83990631-83994301","chr16:83993528-83993614","chr16:83990631-83993527","chr16:83993615-83994301","2.3e-23","2.3e-23","0.523","0.523"
"249","NIPSNAP3A",NA,"ENSG00000136783","CE248","chr9:104753065-104754550","chr9:104753584-104753675","chr9:104753065-104753583","chr9:104753676-104754550","5.66e-05","5.66e-05","7.35e-12","7.35e-12"
"250","NKAIN3",NA,"ENSG00000185942","CE249","chr8:62747130-62918452","chr8:62749703-62754621","chr8:62747130-62749702",NA,"0.0228",NA,"0.00944",NA
"251","NKD1",NA,"ENSG00000140807","CE250","chr16:50608361-50621601","chr16:50620845-50620949","chr16:50608361-50620844","chr16:50620950-50621601","5.67e-17","5.67e-17","not calculated","not calculated"
"252","NLGN3",NA,"ENSG00000196338","CE251","chrX:71148207-71148845","chrX:71148664-71148695","chrX:71148207-71148663","chrX:71148696-71148845","0.000696","0.000696","0.288","0.288"
"253","NOL4",NA,"ENSG00000101746","CE252","chr18:33957518-33958238","chr18:33958020-33958129","chr18:33957518-33958019","chr18:33958130-33958238","5.09e-08","5.09e-08","3.4e-05","3.4e-05"
"254","NPEPL1",NA,"ENSG00000215440","CE253","chr20:58694593-58698683","chr20:58694812-58698683","chr20:58694593-58694811",NA,"not calculated",NA,"not calculated",NA
"255","NRXN2",NA,"ENSG00000110076","CE254","chr11:64697793-64712969","chr11:64699054-64699108","chr11:64697793-64699053","chr11:64699109-64712969","0.000704","0.000704","7.86e-06","7.86e-06"
"256","NSMCE4A",NA,"ENSG00000107672","CE255","chr10:121971070-121974003","chr10:121973523-121973599","chr10:121971070-121973522","chr10:121973600-121974003","2.07e-11","2.07e-11","0.0548","0.0548"
"257","NTM",NA,"ENSG00000182667","CE256","chr11:131370889-131911563","chr11:131867187-131867344","chr11:131370889-131867186","chr11:131867345-131911563","not calculated","not calculated","not calculated","not calculated"
"258","NUP133",NA,"ENSG00000069248","CE257","chr1:229465520-229466633","chr1:229465745-229465887","chr1:229465520-229465744","chr1:229465888-229466633","0.283","0.283","0.000193","0.000193"
"259","NUP188",NA,"ENSG00000095319","CE258","chr9:128952847-128956349","chr9:128956141-128956174","chr9:128952847-128956140","chr9:128956175-128956349","1.29e-20","1.29e-20","0.00393","0.00393"
"260","NYNRIN",NA,"ENSG00000205978","CE259","chr14:24411451-24412996","chr14:24412644-24412691","chr14:24411451-24412643","chr14:24412692-24412996","1.05e-16","1.05e-16","0.00155","0.00155"
"261","ONECUT1","1","ENSG00000169856","CE260","chr15:52757848-52788779","chr15:52775778-52777690",NA,"chr15:52777691-52780595;chr15:52777691-52788779",NA,"3.32e-18, 3.32e-18",NA,"0.0203, 0.0203"
"262","ONECUT1","2","ENSG00000169856","CE261","chr15:52757848-52788779","chr15:52780596-52780742","chr15:52777691-52780595","chr15:52780743-52788779","3.32e-18","3.32e-18","0.0203","0.0203"
"263","OPCML",NA,"ENSG00000183715","CE262","chr11:132420294-132436085","chr11:132435159-132435185","chr11:132420294-132435158","chr11:132435186-132436085","6.16e-06","6.16e-06","0.844","0.844"
"264","PAOX",NA,"ENSG00000148832","CE263","chr10:133389748-133391311","chr10:133390907-133391098","chr10:133389748-133390906","chr10:133391099-133391311","not calculated","not calculated","not calculated","not calculated"
"265","PBX1","1","ENSG00000185630","CE264","chr1:164563312-164792493","chr1:164741610-164741735","chr1:164563312-164741609","chr1:164741730-164792493;chr1:164741736-164792493","4.07e-42","4.07e-42, 4.07e-42","0.0324","0.0324, 0.0324"
"266","PBX1","2","ENSG00000185630","CE265","chr1:164563312-164792493","chr1:164748657-164748842","chr1:164741736-164748656;chr1:164741730-164748656","chr1:164748843-164792493","not calculated","4.07e-42","not calculated","0.0324"
"267","PCBP3",NA,"ENSG00000183570","CE266","chr21:45755453-45849960","chr21:45788298-45788377","chr21:45755453-45788297","chr21:45788378-45849960","4.53e-15","not calculated","0.0213","not calculated"
"268","PCHF12",NA,"ENSG00000109118","CE267","chr17:28914038-28917284","chr17:28914989-28915448",NA,"chr17:28915449-28917284",NA,"0.00106",NA,"0.406"
"269","PCSK1N",NA,"ENSG00000102109","CE268","chrX:48832342-48835418","chrX:48834422-48834590","chrX:48832342-48834421","chrX:48834591-48835418","5.59e-32","5.59e-32","2.22e-11","2.22e-11"
"270","PFKP",NA,"ENSG00000067057","CE269","chr10:3099353-3101364","chr10:3099557-3099819","chr10:3099353-3099556","chr10:3099820-3101364","4.38e-19","4.38e-19","0.00309","0.00309"
"271","PHF2",NA,"ENSG00000197724","CE270","chr9:93660561-93662906","chr9:93661348-93661807","chr9:93660561-93661347",NA,"4.94e-14",NA,"0.055",NA
"272","PHKB","1","ENSG00000102893","CE271","chr16:47511773-47515520","chr16:47513776-47514800","chr16:47511773-47513775","chr16:47514801-47515520","0.0128","0.0128","0.00285","0.00285"
"273","PHKB","2","ENSG00000102893","CE272","chr16:47650922-47660505","chr16:47658600-47658717","chr16:47650922-47658599","chr16:47658718-47660505","not calculated","not calculated","not calculated","not calculated"
"274","PHLPP1",NA,"ENSG00000081913","CE273","chr18:62915009-62919958","chr18:62916491-62916601","chr18:62915009-62916490","chr18:62916602-62919958","1.3e-06","1.3e-06","not calculated","not calculated"
"275","PIGU","1","ENSG00000101464","CE274","chr20:34588608-34616041","chr20:34591900-34592185","chr20:34588608-34591899","chr20:34592186-34592834","0.00153","0.00153","2.39e-07","2.39e-07"
"276","PIGU","2","ENSG00000101464","CE275","chr20:34588608-34616041","chr20:34592835-34592868","chr20:34588608-34592834","chr20:34592869-34616041","0.00153","0.00153","2.39e-07","2.39e-07"
"277","PIGU","3","ENSG00000101464","CE276","chr20:34637986-34644163","chr20:34640697-34640734","chr20:34637986-34640696","chr20:34640735-34644163","1.82e-09","1.82e-09","0.011","0.011"
"278","PIH1D1",NA,"ENSG00000104872","CE277","chr19:49450849-49451484","chr19:49450849-49450939",NA,"chr19:49450940-49451484",NA,"0.0236",NA,"3.98e-05"
"279","PKN1",NA,"ENSG00000123143","CE278","chr19:14446562-14450317","chr19:14450088-14450214","chr19:14446562-14450087","chr19:14450215-14450317","3.36e-17","3.36e-17","6.46e-05","6.46e-05"
"280","PLXNB2",NA,"ENSG00000196576","CE279","chr22:50294779-50307552","chr22:50296261-50296392","chr22:50295430-50296260","chr22:50296393-50307552","0.000474","not calculated","4.55e-05","not calculated"
"281","POMT1",NA,"ENSG00000130714","CE280","chr9:131504341-131506113","chr9:131504341-131504649",NA,"chr9:131504650-131506113",NA,"1.54e-11",NA,"0.00434"
"282","POU2F2",NA,"ENSG00000028277","CE281","chr19:42122577-42160331","chr19:42130343-42130499","chr19:42122577-42130342","chr19:42130500-42160331","2.05e-15","2.05e-15","0.522","0.522"
"283","PPFIBP1",NA,"ENSG00000110841","CE282","chr12:27676600-27679488","chr12:27677064-27677096","chr12:27676600-27677063","chr12:27677097-27679488","not calculated","not calculated","not calculated","not calculated"
"284","PPM1H",NA,"ENSG00000111110","CE283","chr12:62689807-62693935","chr12:62692024-62692072","chr12:62689807-62692023","chr12:62692073-62693935","9.31e-07","9.31e-07","1.47e-06","1.47e-06"
"285","PPP6R1",NA,"ENSG00000105063","CE284","chr19:55240301-55240944","chr19:55240301-55240491",NA,"chr19:55240492-55240944",NA,"4.79e-06",NA,"0.00146"
